Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
15.01. 22:00;0;0;4,2;-50,031;0;4,22;0
15.01. 23:00;0;0;4,2;-55,679;0;4,2;0
16.01. 00:00;0;0;4,5;-57,905;0;4,48;0
16.01. 01:00;0;0;4;-56,332;0;4,02;0
16.01. 02:00;0;0;3,6;-51,283;0;3,62;0
16.01. 03:00;0;0;3,6;-43,999;0;3,6;0
16.01. 04:00;0;0;4;-35,543;0;3,98;0
16.01. 05:00;0;0;4,3;-26,612;0;4,28;0
16.01. 06:00;0;0;4,5;-17,678;0;4,49;0
16.01. 07:00;0;0;4,7;-9,1074;0;4,69;0
16.01. 08:00;0;0;5;-1,2442;0;4,98;0
16.01. 09:00;0,023;0,022381;5,1;5,5514;0,023487;5,53;5,523
16.01. 10:00;0,049;0,047722;5,9;10,895;0,048569;6,79;30,609
16.01. 11:00;0,093;0,086761;6,2;14,406;0,09983;8,11;79,877
16.01. 12:00;0,071;0,069325;6,5;15,784;0,069432;7,89;56,418
16.01. 13:00;0,066;0,064466;6,2;14,899;0,064556;7,5;51,987
16.01. 14:00;0,028;0,027356;5,3;11,835;0,027414;5,93;8,844
16.01. 15:00;0,03;0,029147;5,2;6,863;0,030474;5,81;9,9448
16.01. 16:00;0,004;0,00396;4,9;0,35281;0,0038116;5,02;0,056403
16.01. 17:00;0;0;4,9;-7,3077;0;4,91;0
16.01. 18:00;0;0;4,9;-15,753;0;4,9;0
16.01. 19:00;0;0;4,9;-24,637;0;4,9;0
16.01. 20:00;0;0;5,1;-33,603;0;5,09;0
16.01. 21:00;0;0;4,8;-42,213;0;4,81;0
16.01. 22:00;0;0;5,4;-49,832;0;5,37;0
16.01. 23:00;0;0;5,6;-55,481;0;5,59;0
17.01. 00:00;0;0;5,3;-57,714;0;5,31;0
17.01. 01:00;0;0;5,1;-56,17;0;5,11;0
17.01. 02:00;0;0;5;-51,151;0;5,01;0
17.01. 03:00;0;0;4,9;-43,89;0;4,91;0
17.01. 04:00;0;0;4,9;-35,446;0;4,9;0
